ProductID|Name|ProductNumber|Color|StandardCost|ListPrice|Size|Weight|ProductCategoryID|ProductModelID|SellStartDate|SellEndDate|DiscontinuedDate|rowguid,
680|HL Road Frame - Black, 58|FR-R92B-58|Black|1059.31|1431.50|58|1016.04|18|6|2002-06-01 00:00:00.000|NULL|NULL|43DD68D6-14A4-461F-9069-55309D90EA7E
706|HL Road Frame - Red, 58|FR-R92R-58|Red|1059.31|1431.50|58|1016.04|18|6|2002-06-01 00:00:00.000|NULL|NULL|9540FF17-2712-4C90-A3D1-8CE5568B2462
707|Sport-100 Helmet, Red|HL-U509-R|Red|13.0863|34.99|NULL|NULL|35|33|2005-07-01 00:00:00.000|NULL|NULL|2E1EF41A-C08A-4FF6-8ADA-BDE58B64A712
708|Sport-100 Helmet, Black|HL-U509|Black|13.0863|34.99|NULL|NULL|35|33|2005-07-01 00:00:00.000|NULL|NULL|A25A44FB-C2DE-4268-958F-110B8D7621E2
709|Mountain Bike Socks, M|SO-B909-M|White|3.3963|9.50|M|NULL|27|18|2005-07-01 00:00:00.000|2006-06-30 00:00:00.000|NULL|18F95F47-1540-4E02-8F1F-CC1BCB6828D0
710|Mountain Bike Socks, L|SO-B909-L|White|3.3963|9.50|L|NULL|27|18|2005-07-01 00:00:00.000|2006-06-30 00:00:00.000|NULL|161C035E-21B3-4E14-8E44-AF508F35D80A
711|Sport-100 Helmet, Blue|HL-U509-B|Blue|13.0863|34.99|NULL|NULL|35|33|2005-07-01 00:00:00.000|NULL|NULL|FD7C0858-4179-48C2-865B-ABD5DFC7BC1D
712|AWC Logo Cap|CA-1098|Multi|6.9223|8.99|NULL|NULL|23|2|2005-07-01 00:00:00.000|NULL|NULL|B9EDE243-A6F4-4629-B1D4-FFE1AEDC6DE7,
713|Long-Sleeve Logo Jersey, S|LJ-0192-S|Multi|38.4923|49.99|S|NULL|25|11|2005-07-01 00:00:00.000|NULL|NULL|FD449C82-A259-4FAE-8584-6CA0255FAF68
714|Long-Sleeve Logo Jersey, M|LJ-0192-M|Multi|38.4923|49.99|M|NULL|25|11|2005-07-01 00:00:00.000|NULL|NULL|6A290063-A0CF-432A-8110-2EA0FDA14308
